Trading Date,Company1,Company2,Change in C1,Change in C2
7/22/19,71.11,140.84,0.19,0.99
7/23/19,71.99,141.26,0.88,0.42
7/24/19,73.01,141.29,1.02,0.03
7/25/19,71.39,143.21,-1.62,1.92
7/26/19,72.16,144.65,0.77,1.44
7/29/19,71.76,146.39,-0.40,1.74
7/30/19,71.71,144.93,-0.05,-1.46
7/31/19,71.16,143.01,-0.55,-1.92
8/1/19,68.35,141.85,-2.81,-1.16
8/2/19,67.61,141.71,-0.74,-0.14
8/5/19,65.18,138.30,-2.43,-3.41
8/6/19,66.25,141.87,1.07,3.57
8/7/19,65.14,134.86,-1.11,-7.01
8/8/19,66.74,137.89,1.60,3.03
8/9/19,66.05,138.52,-0.69,0.63
8/12/19,64.24,135.75,-1.81,-2.77
8/13/19,64.83,137.01,0.59,1.26
8/14/19,61.41,132.85,-3.42,-4.16
8/15/19,61.32,133.41,-0.09,0.56
8/16/19,63.48,135.20,2.16,1.79
8/19/19,64.31,135.29,0.83,0.09
8/20/19,63.42,135.13,-0.89,-0.16
8/21/19,63.25,135.76,-0.17,0.63
8/22/19,63.91,136.08,0.66,0.32
8/23/19,61.95,131.67,-1.96,-4.41
8/26/19,62.72,134.61,0.77,2.94
8/27/19,61.66,134.49,-1.06,-0.12
8/28/19,62.36,136.55,0.70,2.06
8/29/19,63.90,137.84,1.54,1.29
8/30/19,64.35,137.26,0.45,-0.58
9/3/19,63.42,136.31,-0.93,-0.95
9/4/19,64.28,137.89,0.86,1.58
9/5/19,66.34,138.84,2.06,0.95
9/6/19,65.97,139.55,-0.37,0.71
9/9/19,68.79,138.83,2.82,-0.72
9/10/19,68.98,135.79,0.19,-3.04
9/11/19,68.90,136.19,-0.08,0.40
9/12/19,69.30,137.50,0.40,1.31
9/13/19,70.39,138.02,1.09,0.52
9/16/19,69.83,135.80,-0.56,-2.22
9/17/19,69.48,136.31,-0.35,0.51
9/18/19,70.09,136.80,0.61,0.49
9/19/19,69.73,133.30,-0.36,-3.50
9/20/19,69.35,132.27,-0.38,-1.03
9/23/19,69.55,132.46,0.20,0.19
9/24/19,67.90,131.97,-1.65,-0.49
9/25/19,69.38,133.09,1.48,1.12
9/26/19,69.11,131.27,-0.27,-1.82
9/27/19,69.46,129.96,0.35,-1.31
9/30/19,69.08,130.32,-0.38,0.36
10/1/19,68.15,129.55,-0.93,-0.77
10/2/19,66.26,129.14,-1.89,-0.41
10/3/19,66.70,128.15,0.44,-0.99
10/4/19,68.18,130.27,1.48,2.12
10/7/19,68.15,130.90,-0.03,0.63
10/8/19,66.40,128.47,-1.75,-2.43
10/9/19,67.43,129.33,1.03,0.86
10/10/19,68.62,129.34,1.19,0.01
10/11/19,70.10,130.02,1.48,0.68
10/14/19,70.24,129.70,0.14,-0.32
10/15/19,71.22,129.76,0.98,0.06
10/16/19,69.50,130.86,-1.72,1.10
10/17/19,69.60,132.37,0.10,1.51
10/18/19,69.74,130.89,0.14,-1.48
10/21/19,71.81,130.26,2.07,-0.63
10/22/19,72.06,132.40,0.25,2.14
10/23/19,72.45,131.13,0.39,-1.27
10/24/19,72.30,130.26,-0.15,-0.87
10/25/19,73.17,130.90,0.87,0.64
10/28/19,73.59,130.53,0.42,-0.37
10/29/19,73.09,129.48,-0.50,-1.05
10/30/19,72.97,129.60,-0.12,0.12
10/31/19,71.86,129.92,-1.11,0.32
11/1/19,73.84,132.75,1.98,2.83
11/4/19,75.15,132.92,1.31,0.17
11/5/19,74.83,131.45,-0.32,-1.47
11/6/19,74.42,131.27,-0.41,-0.18
11/7/19,75.81,132.96,1.39,1.69
11/8/19,76.12,137.96,0.31,5.00
11/11/19,75.60,136.74,-0.52,-1.22
11/12/19,75.07,138.58,-0.53,1.84
11/13/19,73.91,148.72,-1.16,10.14
11/14/19,73.84,147.15,-0.07,-1.57
11/15/19,74.40,144.67,0.56,-2.48
11/18/19,74.40,147.65,0.00,2.98
11/19/19,74.82,148.38,0.42,0.73
11/20/19,73.91,146.93,-0.91,-1.45
11/21/19,73.90,146.90,-0.01,-0.03
11/22/19,74.87,148.29,0.97,1.39
11/25/19,75.68,149.69,0.81,1.40
11/26/19,75.46,151.64,-0.22,1.95
